mesoregister,Factor1_mean,Factor2_mean,Factor3_mean,Factor4_mean,Factor5_mean,Factor6_mean,Factor1_sd,Factor2_sd,Factor3_sd,Factor4_sd,Factor5_sd,Factor6_sd
academic,-1.00134737986671,0.061823776176092,-1.02811015195418,-0.184466790779357,1.42672942305968,-0.127925747481825,0.309657279616725,0.634490673043932,0.642232093907707,0.838085108348579,1.01868709751713,0.816390592232317
broadcast,0.700431176368846,-0.326339213176397,-0.123086690939764,0.598043477587475,-0.231834741589188,-0.263692233310347,0.414737669775094,0.683475623442113,0.878905235852348,0.745702235386902,0.546174132256801,0.877540238469533
business letters,-0.627108110435381,0.125736644969438,0.095439990080001,0.491861662805601,0.582150260988286,-0.160184809325267,0.366364410861595,0.854670688717176,0.90821169377135,0.829505840746533,0.536079132878481,0.72328721075511
business transactions,1.19804058606954,-0.252526555497041,-0.024689869358413,0.481716006754647,0.00176148801393,-0.340443984655568,0.637818247912023,0.929480151428804,1.23452048442902,1.20874884706092,0.351652386801423,0.769074755939456
commentaries,-0.260221965719783,-1.41106023906177,-0.774795032706741,0.746172413644473,-1.78981359989036,-0.501040974209401,0.321157491770944,1.37775401428922,0.469312146772078,0.529657041553837,0.838017659675184,0.46742665456882
conversation,1.67425949563959,0.316594899968217,-0.201260014283777,-0.538194592799636,0.292709800659148,0.243356353041284,0.587322349812214,0.757533194999326,0.872769935064728,0.80079539407441,0.537033552800553,1.07023603074253
cross-examinations,0.816327116019808,-0.727191223554618,0.191741377627286,1.45174198058962,0.763579103565463,2.17275775418814,0.472972884412086,0.747164897715907,0.726845981362111,0.713728485185413,0.401141602440566,1.02001012370734
demonstrations,0.623044035642067,-1.30267752746454,-0.002540191885754,1.05149304695196,-0.534037256669273,-1.26499666862903,0.467967909732124,0.724238295211905,0.687716648191539,0.741082177338845,0.459043108314792,0.315201236003973
exams,-0.657978266422356,0.984928307276749,-0.962006983001347,0.724154307484481,0.065034060110155,-0.706516837820721,0.320336888221048,0.513806929545851,0.581289891977935,0.645389246046626,0.572622120600182,0.347360548038925
fiction,-0.324701921009145,-0.074521089494287,0.387383110262508,-0.607523759965065,-0.927942719849031,1.60253554977352,0.671350309860829,0.602634921525678,0.928549851101103,0.752727158713137,0.499686814119413,1.70365430279887
instructional,-0.552992381837793,-0.73170689119362,0.178943845800809,-0.448244231965574,0.699493065385091,-0.566808733119474,0.311161845175109,1.23929940536976,1.07314025249668,0.699232132047545,1.67580692443941,0.773505659836917
legal presentation,0.164785500371133,-1.23410295171664,1.92433191951796,2.01504473681244,0.257052092554616,1.69675164406891,0.342227228103601,0.442298750114033,0.698681027882863,0.950738218541561,0.46584096270244,1.17061849340675
lesson,1.29206093335777,-0.342216572336204,-0.628013677455084,0.281030072940781,0.341154260854844,-0.409687331952109,0.439784459649114,0.531373856859268,0.679842233125456,0.708900419619609,0.62746061769858,0.526908500306193
non-academic,-0.820287084828139,-0.354733576264086,0.123556043344612,-0.727265759622606,-0.363276723446153,-0.212260878963256,0.409896957297827,0.505284788538601,0.966958397118081,0.652664252661778,0.721900696382568,1.10736628652356
online comments,-0.399926745945436,1.23418725158845,0.207107388709871,-0.008892376831482,-0.157118409159203,-0.252996656864108,0.255161716797783,0.579266815671057,0.526624558701964,0.565862921376858,0.466244370343476,0.480757355056425
opinion,-0.807006957737487,0.473268502535063,0.06073505856398,-0.158548491541437,-0.194740510616415,0.069805222478214,0.376552235933994,1.08791928679091,1.04310848249077,0.639314825270964,0.707104752604659,1.04859979912632
parliamentary debate,-0.602375937982067,-0.897164786429134,0.368440498440632,2.15617985117999,0.49544254566337,-0.368376414014926,0.397086518647611,0.355754764603181,0.776736773216826,0.784089063631729,0.389424391046251,0.323637201786646
persuasive,-0.811824634725686,0.107605809427274,0.20968500041097,0.18379371028608,-0.267432986805128,0.018858721605322,0.176078482276921,0.907036668047749,0.611758034416269,0.729035160211578,0.536305943277699,0.830162575053387
reportage,-0.532694420331912,-0.896855759674952,1.63044580281048,-1.17597340782347,0.073046724892287,0.707287154524475,0.348097967116316,0.479530258853167,1.05400326931993,0.483934243692596,0.351429466647073,0.666408031975213
scripted broadcast,-0.480426800279242,-1.11978144861057,0.528282761311935,-0.004217925414195,-0.497820446013946,-0.444052950929939,0.393798535414975,0.690361606074713,1.03657856970765,1.1920386898674,0.960210846312924,0.615248641130851
scripted non-broadcast,-0.949919123274844,-0.483206604173554,-0.405264525766664,1.00010985093878,-0.137901558840728,0.438668094739446,0.220121570012208,0.47310480335404,0.60584385570387,0.310548153999954,1.07338168946002,0.611562036544811
social letters,-0.016289935573781,0.645390680038157,-0.219579320057749,-0.600035380686374,-0.91814407268533,0.088064319291289,0.44919736051461,0.70842280654868,0.582909279703573,0.604032290349426,0.523573719030726,0.708823319657367
student essays,-0.933837769105446,0.348124797478303,-0.401595788320107,0.860934780191557,1.07790868157533,1.1691430146671,0.217933962952624,0.551320446054007,0.619110350586057,0.529816765636403,0.877216032571554,1.62386677396564
telephone,1.6498653113877,0.357617246850721,-0.176839347953575,-0.932952235849546,0.044188987558262,0.132586187363821,0.197308359122104,0.504154347431024,0.327740431787554,0.328582156077988,0.389844823456173,0.86922138121994
unscripted speech,0.973385153870854,-0.341531298188614,-0.193345059931776,0.544024040167056,0.186659486891916,-0.433820933116276,0.647755802386156,0.648855074849302,0.853924070122139,0.740917013144248,0.64630045858722,0.452465331221978
