microregister,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
academic,-1.00134737986671,0.061823776176092,-1.02811015195418,-0.184466790779357,1.42672942305968,-0.127925747481825
broadcast discussion,0.680899917695392,-0.325914019884261,0.030338542144873,0.444626771335485,-0.293652249796973,-0.377365382201976
broadcast interview,0.739493693715753,-0.327189599760668,-0.429937157109037,0.904876890091455,-0.108199725173618,-0.036345935527089
business letters,-0.627108110435381,0.125736644969438,0.095439990080001,0.491861662805601,0.582150260988286,-0.160184809325267
business transactions,1.19804058606954,-0.252526555497041,-0.024689869358413,0.481716006754647,0.00176148801393,-0.340443984655568
commentaries,-0.260221965719783,-1.41106023906177,-0.774795032706741,0.746172413644473,-1.78981359989036,-0.501040974209401
conversation,1.56913794963983,0.154667657224941,-0.181388032043974,-0.379225828824477,0.210035094926306,0.092521050874253
exams,-0.657978266422356,0.984928307276749,-0.962006983001347,0.724154307484481,0.065034060110155,-0.706516837820721
fiction,-0.324701921009145,-0.074521089494287,0.387383110262508,-0.607523759965065,-0.927942719849031,1.60253554977352
instructional,-0.552992381837793,-0.73170689119362,0.178943845800809,-0.448244231965574,0.699493065385091,-0.566808733119474
legal debate,0.816327116019808,-0.727191223554618,0.191741377627286,1.45174198058962,0.763579103565463,2.17275775418814
legal presentation,0.164785500371133,-1.23410295171664,1.92433191951796,2.01504473681244,0.257052092554616,1.69675164406891
lesson,1.29206093335777,-0.342216572336204,-0.628013677455084,0.281030072940781,0.341154260854844,-0.409687331952109
non-academic,-0.820287084828139,-0.354733576264086,0.123556043344612,-0.727265759622606,-0.363276723446153,-0.212260878963256
online comments,-0.399926745945436,1.23418725158845,0.207107388709871,-0.008892376831482,-0.157118409159203,-0.252996656864108
opinion,-0.807006957737487,0.473268502535063,0.06073505856398,-0.158548491541437,-0.194740510616415,0.069805222478214
parliamentary debate,-0.602375937982067,-0.897164786429134,0.368440498440632,2.15617985117999,0.49544254566337,-0.368376414014926
persuasive,-0.811824634725686,0.107605809427274,0.20968500041097,0.18379371028608,-0.267432986805128,0.018858721605322
reportage,-0.532694420331912,-0.896855759674952,1.63044580281048,-1.17597340782347,0.073046724892287,0.707287154524475
scripted broadcast,-0.480426800279242,-1.11978144861057,0.528282761311935,-0.004217925414195,-0.497820446013946,-0.444052950929939
scripted non-broadcast,-0.949919123274844,-0.483206604173554,-0.405264525766664,1.00010985093878,-0.137901558840728,0.438668094739446
social letters,-0.016289935573781,0.645390680038157,-0.219579320057749,-0.600035380686374,-0.91814407268533,0.088064319291289
speech,0.973385153870854,-0.341531298188614,-0.193345059931776,0.544024040167056,0.186659486891916,-0.433820933116276
student essays,-0.933837769105446,0.348124797478303,-0.401595788320107,0.860934780191557,1.07790868157533,1.1691430146671
telephone,1.6498653113877,0.357617246850721,-0.176839347953575,-0.932952235849546,0.044188987558262,0.132586187363821
